department,position,scale_point,annual_rat(€)
ADIMINISTRATIVE,ADMINISTRATOR,7,"31,616"
ADIMINISTRATIVE,ADMINISTRATOR,8,"32,491"
ADIMINISTRATIVE,ADMINISTRATOR,9,"33,224"
ADIMINISTRATIVE,ADMINISTRATOR,10,"34,378"
ADIMINISTRATIVE,ADMINISTRATOR,11,"35,541"
ADIMINISTRATIVE,ADMINISTRATOR,12,"36,715"
ADIMINISTRATIVE,ADMINISTRATOR,13,"37,403"
ADIMINISTRATIVE,ADMINISTRATOR,14,"38,396"
ADIMINISTRATIVE,ADMINISTRATOR,15,"39,212"
ADIMINISTRATIVE,ADMINISTRATOR,16,"39,926"
ADIMINISTRATIVE,ADMINISTRATOR,17,"40,912"
ADIMINISTRATIVE,ADMINISTRATOR,18,"41,892"


#EDUCATION_PROCUREMENT_SERVICES

EDUCATION_PROCUREMENT_SERVICES,EPS_PORTFOLIO_MANAGER,1,"86,389"
EDUCATION_PROCUREMENT_SERVICES,EPS_PORTFOLIO_MANAGER,2,"90,698"
EDUCATION_PROCUREMENT_SERVICES,EPS_PORTFOLIO_MANAGER,3,"95,005"
EDUCATION_PROCUREMENT_SERVICES,EPS_PORTFOLIO_MANAGER,4,"99,296"
EDUCATION_PROCUREMENT_SERVICES,EPS_PORTFOLIO_MANAGER,5,"103,583"
EDUCATION_PROCUREMENT_SERVICES,EPS_PORTFOLIO_MANAGER,6,"107,874"

EDUCATION_PROCUREMENT_SERVICES,EPS_CATEGORY_MANAGER,1,"67,131"
EDUCATION_PROCUREMENT_SERVICES,EPS_CATEGORY_MANAGER,2,"69,712"
EDUCATION_PROCUREMENT_SERVICES,EPS_CATEGORY_MANAGER,3,"72,480"
EDUCATION_PROCUREMENT_SERVICES,EPS_CATEGORY_MANAGER,4,"75,725"
EDUCATION_PROCUREMENT_SERVICES,EPS_CATEGORY_MANAGER,5,"79,087"
EDUCATION_PROCUREMENT_SERVICES,EPS_CATEGORY_MANAGER,6,"82,103"
EDUCATION_PROCUREMENT_SERVICES,EPS_CATEGORY_MANAGER,7,"86,389"
EDUCATION_PROCUREMENT_SERVICES,EPS_CATEGORY_MANAGER,8,"90,698"

EDUCATION_PROCUREMENT_SERVICES,EPS_CATEGORY_SPECIALIST,1,"44,752"
EDUCATION_PROCUREMENT_SERVICES,EPS_CATEGORY_SPECIALIST,2,"47,047"
EDUCATION_PROCUREMENT_SERVICES,EPS_CATEGORY_SPECIALIST,3,"49,360"
EDUCATION_PROCUREMENT_SERVICES,EPS_CATEGORY_SPECIALIST,4,"51,269"
EDUCATION_PROCUREMENT_SERVICES,EPS_CATEGORY_SPECIALIST,5,"53,219"
EDUCATION_PROCUREMENT_SERVICES,EPS_CATEGORY_SPECIALIST,6,"55,306"
EDUCATION_PROCUREMENT_SERVICES,EPS_CATEGORY_SPECIALIST,7,"57,462"
EDUCATION_PROCUREMENT_SERVICES,EPS_CATEGORY_SPECIALIST,8,"59,558"


#LIBRARY

LIBRARY,SUB_LIBRARIAN,1,"64,830"
LIBRARY,SUB_LIBRARIAN,2,"68,413"
LIBRARY,SUB_LIBRARIAN,3,"71,505"
LIBRARY,SUB_LIBRARIAN,4,"74,734"
LIBRARY,SUB_LIBRARIAN,5,"77,824"
LIBRARY,SUB_LIBRARIAN,6,"80,106"
LIBRARY,SUB_LIBRARIAN,7,"83,065"
LIBRARY,SUB_LIBRARIAN,8,"86,613"
LIBRARY,SUB_LIBRARIAN,9,"90,308"
LIBRARY,SUB_LIBRARIAN,10,"93,715"
LIBRARY,SUB_LIBRARIAN,11,"97,127"
LIBRARY,SUB_LIBRARIAN,12,"100,531"
LIBRARY,SUB_LIBRARIAN,13,"102,234"
LIBRARY,SUB_LIBRARIAN,14,"104,052"
LIBRARY,SUB_LIBRARIAN,15,"106,850"

LIBRARY,ASSISTANT_LIBRARIAN_2,1,"58,657"
LIBRARY,ASSISTANT_LIBRARIAN_2,2,"60,174"
LIBRARY,ASSISTANT_LIBRARIAN_2,3,"61,704"
LIBRARY,ASSISTANT_LIBRARIAN_2,4,"63,240"
LIBRARY,ASSISTANT_LIBRARIAN_2,5,"64,776"
LIBRARY,ASSISTANT_LIBRARIAN_2,6,"66,317"
LIBRARY,ASSISTANT_LIBRARIAN_2,7,"68,510"
LIBRARY,ASSISTANT_LIBRARIAN_2,8,"72,779"
LIBRARY,ASSISTANT_LIBRARIAN_2,9,"77,291"
LIBRARY,ASSISTANT_LIBRARIAN_2,10,"79,691"
LIBRARY,ASSISTANT_LIBRARIAN_2,11,"83,397"

LIBRARY,ASSISTANT_LIBRARIAN_1,1,"44,751"
LIBRARY,ASSISTANT_LIBRARIAN_1,2,"47,050"
LIBRARY,ASSISTANT_LIBRARIAN_1,3,"49,364"
LIBRARY,ASSISTANT_LIBRARIAN_1,4,"51,269"
LIBRARY,ASSISTANT_LIBRARIAN_1,5,"53,605"
LIBRARY,ASSISTANT_LIBRARIAN_1,6,"55,126"
LIBRARY,ASSISTANT_LIBRARIAN_1,7,"56,632"
LIBRARY,ASSISTANT_LIBRARIAN_1,8,"57,745"
LIBRARY,ASSISTANT_LIBRARIAN_1,9,"59,104"
LIBRARY,ASSISTANT_LIBRARIAN_1,10,"60,468"
LIBRARY,ASSISTANT_LIBRARIAN_1,11,"61,415"
LIBRARY,ASSISTANT_LIBRARIAN_1,12,"62,371"
LIBRARY,ASSISTANT_LIBRARIAN_1,13,"64,409"
LIBRARY,ASSISTANT_LIBRARIAN_1,14,"66,805"
LIBRARY,ASSISTANT_LIBRARIAN_1,15,"69,293"

